Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:36 AM      17      1.00      0.00      1.00      1.00      0.00      0.00      1.00      0.00     96.00
09:36:36 AM      18      5.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     95.00
09:36:36 AM      19      2.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:36 AM      20      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:36 AM      21      1.00      0.00      2.00      0.00      0.00      0.00      0.00      0.00     97.00
09:36:36 AM      22      0.00      0.00      1.01      0.00      0.00      0.00      0.00      0.00     98.99
09:36:36 AM      23      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     98.00

09:36:36 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest     %idle
09:36:37 AM     all     10.24      0.00      0.92      0.38      0.00      0.00      0.04      0.00     88.42
09:36:37 AM       0      6.12      0.00      1.02      2.04      0.00      0.00      0.00      0.00     90.82
09:36:37 AM       1      7.00      0.00      4.00      1.00      0.00      0.00      0.00      0.00     88.00
09:36:37 AM       2      1.01      0.00      1.01      3.03      0.00      0.00      0.00      0.00     94.95
09:36:37 AM       3     10.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     89.00
09:36:37 AM       4      2.04      0.00      0.00      0.00      0.00      0.00      0.00      0.00     97.96
09:36:37 AM       5     98.02      0.00      0.99      0.00      0.00      0.00      0.00      0.00      0.99
09:36:37 AM       6      9.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     91.00
09:36:37 AM       7      3.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     96.00
09:36:37 AM       8     66.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     34.00
09:36:37 AM       9      0.99      0.00      0.99      0.00      0.00      0.00      0.00      0.00     98.02
09:36:37 AM      10      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00     99.00
09:36:37 AM      11      0.99      0.00      0.00      0.00      0.00      0.00      0.00      0.00     99.01
