Linux 2.6.32-131.4.1.el6.x86_64 (esv4-app133.stg) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM  pgpgin/s pgpgout/s   fault/s  majflt/s  pgfree/s pgscank/s pgscand/s pgsteal/s    %vmeff
09:34:54 PM 329300.49   1339.90   2633.50      0.49  59278.33      0.00  36713.30  35787.19     97.48
09:34:56 PM 248290.55    164.18   3360.20      1.49  95515.92      0.00  42407.96  42376.62     99.93
09:34:58 PM 475478.61    522.89   3687.56      0.00  25005.47      0.00   4653.23   4653.23    100.00
09:35:00 PM 346117.07    130.73   2519.02      9.27  38973.66      0.00  10621.95  10617.56     99.96
09:35:02 PM 353397.01    173.13   3305.97      1.99  68964.68      0.00  27571.14  27567.66     99.99
09:35:04 PM     33.83    369.15    162.19      1.00   1880.60      0.00      0.00      0.00      0.00
09:35:06 PM      0.00     30.65    125.13      0.00    737.19      0.00      0.00      0.00      0.00
09:35:08 PM      0.00     32.84    124.38      0.00    904.98      0.00      0.00      0.00      0.00
09:35:10 PM      0.00      0.50    179.90      0.00    958.29      0.00      0.00      0.00      0.00
09:35:12 PM     96.00     29.00    129.50      1.00    878.50      0.00      0.00      0.00      0.00
09:35:14 PM    137.31     42.29    495.52      1.49   1161.19      0.00      0.00      0.00      0.00
09:35:16 PM      0.00      0.00    129.50      0.00    811.00      0.00      0.00      0.00      0.00
09:35:18 PM      2.01    181.41    123.62      0.00    822.11      0.00      0.00      0.00      0.00
09:35:20 PM    177.11      6.97  79205.47      3.48  25534.33      0.00      0.00      0.00      0.00
09:35:22 PM      0.00      0.00    126.00      0.00    685.00      0.00      0.00      0.00      0.00
09:35:24 PM      0.00   1100.00    125.63      0.00    660.80      0.00      0.00      0.00      0.00
09:35:26 PM      6.00      1.50    125.00      0.50    633.50      0.00      0.00      0.00      0.00
09:35:28 PM     27.72   1101.98    123.76      0.50    607.92      0.00      0.00      0.00      0.00
09:35:30 PM      0.00      3.52    178.89      0.00    573.87      0.00      0.00      0.00      0.00
09:35:32 PM      0.00      0.00    127.86      0.00    499.50      0.00      0.00      0.00      0.00
09:35:34 PM      0.00     39.20    124.62      0.00    456.28      0.00      0.00      0.00      0.00
09:35:36 PM      0.00      4.50    126.00      0.00    497.00      0.00      0.00      0.00      0.00
09:35:38 PM      0.00      0.00    122.00      0.00    458.00      0.00      0.00      0.00      0.00
09:35:40 PM      0.00     33.00    176.50      0.00    592.50      0.00      0.00      0.00      0.00
09:35:42 PM      0.00      3.00    127.50      0.00    466.00      0.00      0.00      0.00      0.00
