Linux 2.6.32-358.6.2.el6.x86_64 (lva1-app1774.prod) 	11/09/2014 	_x86_64_	(24 CPU)

09:36:28 AM     CPU       MHz
09:36:48 AM      19   2501.00
09:36:48 AM      20   2501.00
09:36:48 AM      21   2501.00
09:36:48 AM      22   2501.00
09:36:48 AM      23   2501.00

09:36:48 AM     CPU       MHz
09:36:49 AM     all   2501.00
09:36:49 AM       0   2501.00
09:36:49 AM       1   2501.00
09:36:49 AM       2   2501.00
09:36:49 AM       3   2501.00
09:36:49 AM       4   2501.00
09:36:49 AM       5   2501.00
09:36:49 AM       6   2501.00
09:36:49 AM       7   2501.00
09:36:49 AM       8   2501.00
09:36:49 AM       9   2501.00
09:36:49 AM      10   2501.00
09:36:49 AM      11   2501.00
09:36:49 AM      12   2501.00
09:36:49 AM      13   2501.00
09:36:49 AM      14   2501.00
09:36:49 AM      15   2501.00
09:36:49 AM      16   2501.00
09:36:49 AM      17   2501.00
09:36:49 AM      18   2501.00
09:36:49 AM      19   2501.00
09:36:49 AM      20   2501.00
09:36:49 AM      21   2501.00
09:36:49 AM      22   2501.00
09:36:49 AM      23   2501.00

09:36:49 AM     CPU       MHz
09:36:50 AM     all   2501.00
09:36:50 AM       0   2501.00
09:36:50 AM       1   2501.00
09:36:50 AM       2   2501.00
09:36:50 AM       3   2501.00
09:36:50 AM       4   2501.00
09:36:50 AM       5   2501.00
09:36:50 AM       6   2501.00
09:36:50 AM       7   2501.00
09:36:50 AM       8   2501.00
09:36:50 AM       9   2501.00
09:36:50 AM      10   2501.00
09:36:50 AM      11   2501.00
09:36:50 AM      12   2501.00
09:36:50 AM      13   2501.00
09:36:50 AM      14   2501.00
09:36:50 AM      15   2501.00
09:36:50 AM      16   2501.00
09:36:50 AM      17   2501.00
09:36:50 AM      18   2501.00
09:36:50 AM      19   2501.00
09:36:50 AM      20   2501.00
09:36:50 AM      21   2501.00
09:36:50 AM      22   2501.00
09:36:50 AM      23   2501.00

09:36:50 AM     CPU       MHz
09:36:51 AM     all   2501.00
09:36:51 AM       0   2501.00
09:36:51 AM       1   2501.00
09:36:51 AM       2   2501.00
09:36:51 AM       3   2501.00
09:36:51 AM       4   2501.00
09:36:51 AM       5   2501.00
09:36:51 AM       6   2501.00
09:36:51 AM       7   2501.00
09:36:51 AM       8   2501.00
09:36:51 AM       9   2501.00
09:36:51 AM      10   2501.00
09:36:51 AM      11   2501.00
09:36:51 AM      12   2501.00
09:36:51 AM      13   2501.00
09:36:51 AM      14   2501.00
09:36:51 AM      15   2501.00
09:36:51 AM      16   2501.00
09:36:51 AM      17   2501.00
09:36:51 AM      18   2501.00
