Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM    proc/s   cswch/s
09:40:56 PM      0.00    538.81
09:40:58 PM      0.00    685.50
09:41:00 PM      0.51    581.12
09:41:02 PM      0.00    589.00
09:41:04 PM      0.00    572.14
09:41:06 PM      0.00    534.98
09:41:08 PM      0.00    609.84
09:41:10 PM      0.49    579.13
09:41:12 PM      0.00    562.50
09:41:14 PM      0.00    620.40
09:41:16 PM      0.00    572.00
09:41:18 PM      0.00    630.21
09:41:20 PM      0.00    544.71
09:41:22 PM    172.00   2391.50
09:41:24 PM    120.21   1818.65
09:41:26 PM      0.49    554.63
09:41:28 PM      0.00    625.87
09:41:30 PM      0.00    566.00
09:41:32 PM      0.50    564.00
09:41:34 PM      0.00    590.95
09:41:36 PM      0.00    539.80
09:41:38 PM      0.00    619.49
09:41:40 PM      0.00    575.12
09:41:42 PM      0.00    558.50
09:41:44 PM      0.00    567.16
09:41:46 PM      0.00    646.23
09:41:48 PM      0.50    605.53
09:41:50 PM      0.00    598.51
09:41:52 PM      0.00    589.85
09:41:54 PM      0.00    569.80
09:41:56 PM      0.00    537.81
09:41:58 PM      0.00    607.54
09:42:00 PM      0.00    579.50
09:42:02 PM      0.00    586.00
09:42:04 PM      0.00    591.54
09:42:06 PM      0.00    551.50
09:42:08 PM      0.00    583.50
09:42:10 PM      0.00    663.13
09:42:12 PM      0.00    564.36
09:42:14 PM      0.52    632.81
09:42:16 PM      0.00    578.50
09:42:18 PM      0.00    590.50
09:42:20 PM      0.00    565.17
09:42:22 PM      0.00    586.43
09:42:24 PM    286.57   3471.14
09:42:26 PM      0.50    575.00
09:42:28 PM      0.00    632.00
09:42:30 PM      0.00    571.36
09:42:32 PM      0.50    632.34
09:42:34 PM      0.00    585.93
09:42:36 PM      0.00    536.82
09:42:38 PM      0.00    634.17
09:42:40 PM      0.50    587.56
09:42:42 PM      0.00    565.67
09:42:44 PM      0.50    589.95
09:42:46 PM      0.00    569.00
09:42:48 PM      0.00    602.50
09:42:50 PM      0.00    601.50
09:42:52 PM      0.00    585.43
09:42:54 PM      0.00    594.50
09:42:56 PM      0.00    600.00
09:42:58 PM      0.00    620.10
09:43:00 PM      0.00    590.00
09:43:02 PM      0.00    591.00
09:43:04 PM      0.50    592.46
09:43:06 PM      0.00    544.28
09:43:08 PM      0.00    611.50
09:43:10 PM      0.00    562.50
09:43:12 PM      0.00    561.00
09:43:14 PM      0.00    630.00
09:43:16 PM      0.00    543.00
09:43:18 PM      0.00    589.45
09:43:20 PM      0.00    641.58
09:43:22 PM      0.00    572.86
09:43:24 PM    289.45   3514.57
09:43:26 PM      0.00    590.00
09:43:28 PM      0.00    611.94
09:43:30 PM      0.50    574.87
09:43:32 PM      0.50    592.04
09:43:34 PM      0.00    576.38
09:43:36 PM      0.50    541.29
09:43:38 PM      0.00    638.50
09:43:40 PM      0.50    576.38
09:43:42 PM      0.00    622.89
09:43:44 PM      0.00    616.58
09:43:46 PM      0.00    550.50
09:43:48 PM      0.00    582.09
09:43:50 PM      0.00    616.08
09:43:52 PM      0.00    561.50
09:43:54 PM      0.00    587.50
09:43:56 PM      0.50    566.50
09:43:58 PM      0.00    581.59
09:44:00 PM      0.00    576.38
09:44:02 PM      0.00    611.00
09:44:04 PM      0.00    573.00
09:44:06 PM      0.00    606.03
09:44:08 PM      0.00    618.81
09:44:10 PM      0.00    568.84
09:44:12 PM      0.00    565.17
09:44:14 PM      0.00    640.70
09:44:16 PM      0.00    549.25
09:44:18 PM      0.50    600.00
09:44:20 PM      0.00    595.00
09:44:22 PM      0.00    565.50
09:44:24 PM    279.61   3397.09
09:44:26 PM      0.00    611.92
09:44:28 PM      0.00    593.03
09:44:30 PM      0.00    641.21
09:44:32 PM      0.50    586.50
09:44:34 PM      0.00    557.79
09:44:36 PM      0.00    533.66
09:44:38 PM      0.00    656.28
09:44:40 PM      0.00    563.18
09:44:42 PM      0.00    567.34
09:44:44 PM      0.50    604.50
09:44:46 PM      0.00    539.30
