Linux 2.6.32 (machine1) 	02/23/2012 	_x86_64_	(24 CPU)

09:29:18 PM   frmpg/s   bufpg/s   campg/s
09:41:30 PM     64.50      0.00     14.50
09:41:32 PM     59.50      0.00     14.50
09:41:34 PM     17.09      1.01     14.07
09:41:36 PM     57.21      0.00     14.43
09:41:38 PM     80.51      0.00     14.87
09:41:40 PM     -9.27      0.98     13.66
09:41:42 PM      8.00      0.00     15.00
09:41:44 PM     45.27      0.00     13.93
09:41:46 PM    -31.16      1.01     14.57
09:41:48 PM    -45.73      0.00     28.64
09:41:50 PM     30.69      0.50      0.00
09:41:52 PM      0.00      1.02     14.72
09:41:54 PM    -46.04      0.00     14.36
09:41:56 PM      7.46      0.00     13.93
09:41:58 PM      0.00      1.01     14.57
09:42:00 PM    -28.50      0.00     14.50
09:42:02 PM     13.00      0.00     15.00
09:42:04 PM      0.00      1.00     13.43
09:42:06 PM    -15.50      0.00     15.50
09:42:08 PM      0.00      0.00     14.00
09:42:10 PM    -31.31      1.01     14.14
09:42:12 PM    -46.04      0.00     14.85
09:42:14 PM    -16.15      1.04     15.10
09:42:16 PM     15.50      1.00     14.50
09:42:18 PM    -15.50      0.00     14.00
09:42:20 PM    -15.42      0.00     14.43
09:42:22 PM    -31.16      1.01     13.57
09:42:24 PM   -636.32      0.50     16.92
09:42:26 PM    -32.00      0.00     15.00
09:42:28 PM   5997.00      1.00  -5899.50
09:42:30 PM     63.32      0.00     14.07
09:42:32 PM     -1.49      0.00     28.36
09:42:34 PM      2.51      1.01     14.57
09:42:36 PM     60.20      0.00      0.50
09:42:38 PM   3939.20     -4.02  -3887.94
09:42:40 PM     20.40      1.00     13.93
09:42:42 PM     55.72      0.00     14.93
09:42:44 PM     -1.01      0.00     14.57
09:42:46 PM      0.00      1.00     13.50
09:42:48 PM   3834.50      0.00  -3925.00
09:42:50 PM     17.50      0.00     20.50
09:42:52 PM    -14.57      1.01     14.07
09:42:54 PM      0.00      0.00     15.00
09:42:56 PM    -17.82      0.00     14.85
09:42:58 PM   2961.31    -14.07  -2011.56
09:43:00 PM   -250.00      0.50     14.50
09:43:02 PM    -31.00      0.00     14.50
09:43:04 PM    -46.23      1.01     14.07
09:43:06 PM    -15.42      0.00     14.43
09:43:08 PM    -15.50      1.00     14.50
09:43:10 PM    -15.50      0.00     14.00
09:43:12 PM    -15.50      0.00     14.50
09:43:14 PM    -15.50      2.00     14.50
09:43:16 PM    -15.50      0.00     14.00
09:43:18 PM    -15.58      0.00     14.57
09:43:20 PM    -61.39      0.99     13.37
09:43:22 PM    -31.16      0.00     15.08
09:43:24 PM   -698.99      0.00     14.07
09:43:26 PM    -29.00      1.00     13.50
09:43:28 PM     30.85      1.00     15.42
09:43:30 PM     53.27      0.00     14.57
09:43:32 PM     10.95      1.00     12.94
09:43:34 PM     17.09      0.00     15.58
09:43:36 PM      6.97      0.00     14.43
09:43:38 PM     31.00      1.00     27.00
09:43:40 PM     38.19      0.00     15.58
09:43:42 PM     24.88      0.00      0.50
09:43:44 PM    -15.58      1.01     13.07
09:43:46 PM    -31.00      0.00     15.50
09:43:48 PM     15.42      0.00     14.43
09:43:50 PM    -15.58      1.01     13.07
09:43:52 PM     46.50      0.00     15.50
09:43:54 PM    -31.00      0.00     14.50
09:43:56 PM     -2.50      1.00     13.00
09:43:58 PM    -15.42      0.00     15.42
09:44:00 PM     20.10      0.00     15.08
09:44:02 PM    -20.50      1.00     13.00
09:44:04 PM    -31.00      0.00     15.50
09:44:06 PM    -31.16      0.00     14.07
09:44:08 PM    -30.69      0.99     14.36
09:44:10 PM    -27.14      0.00     14.57
09:44:12 PM     15.42      0.00     14.43
09:44:14 PM    -15.58      2.01     14.57
09:44:16 PM    -15.58      0.00     15.08
09:44:18 PM    437.13     -0.50   -519.80
09:44:20 PM    -31.00      1.00     14.50
09:44:22 PM      0.00      0.00     14.50
09:44:24 PM   -375.73      0.00     28.16
09:44:26 PM    -76.68      1.04     -0.52
09:44:28 PM     32.84      1.00     14.43
09:44:30 PM    -30.15      0.00     14.07
09:44:32 PM     80.50      1.00     14.50
09:44:34 PM      0.50      0.00     14.57
09:44:36 PM     27.23      0.00     13.86
09:44:38 PM   2692.46      1.01  -1732.16
09:44:40 PM   -159.20      0.00     13.93
09:44:42 PM    -30.15      0.00     14.57
09:44:44 PM    -46.50      1.00     14.50
09:44:46 PM    -44.28      0.00     13.93
09:44:48 PM    -13.50      1.00     14.50
09:44:50 PM    -31.16      0.00     14.57
09:44:52 PM      2.00      0.00     14.00
09:44:54 PM    -30.85      1.00     14.43
09:44:56 PM    -31.16      0.00     14.57
09:44:58 PM    -17.50      0.50     14.50
09:45:00 PM    -77.50      1.00     14.50
09:45:02 PM    -31.00      0.00     14.50
09:45:04 PM    -15.42      1.00     13.93
09:45:06 PM    -15.58      1.01     14.57
09:45:08 PM    -15.42      0.00     14.43
09:45:10 PM    -32.16      0.00     14.07
09:45:12 PM    -14.43      1.00     14.43
09:45:14 PM    -31.16      1.01     14.57
09:45:16 PM    -30.85      0.00     14.43
09:45:18 PM      0.00      2.01     14.07
09:45:20 PM    -31.00      0.00     14.50
09:45:22 PM    -15.50      0.00     15.00
09:45:24 PM   -457.42      0.96     26.79
09:45:26 PM   -547.64      0.00      1.05
09:45:28 PM     15.50      2.00     14.00
09:45:30 PM      0.00      0.00     15.50
09:45:32 PM    108.96      0.00     13.93
09:45:34 PM      2.51      2.01     14.57
09:45:36 PM     13.86      0.00     14.36
09:45:38 PM    101.51      0.00     14.07
09:45:40 PM     55.22      1.00     14.43
09:45:42 PM      0.00      0.00     14.43
09:45:44 PM     37.00      0.00     14.00
09:45:46 PM      0.00      1.00     13.93
09:45:48 PM      1.00      0.00     14.43
09:45:50 PM     15.42      1.00     14.43
09:45:52 PM      0.00      1.01     14.07
09:45:54 PM    -30.85      0.00     14.43
09:45:56 PM     -2.00      0.00     15.00
09:45:58 PM     31.84      1.00     14.93
09:46:00 PM    -17.91      0.00     13.93
09:46:02 PM    -46.27      0.00     14.43
09:46:04 PM    -31.00      1.00     13.50
09:46:06 PM      7.04      0.00     15.08
09:46:08 PM    -16.23      0.00     15.18
09:46:10 PM     -1.00      1.00     -0.50
09:46:12 PM    -30.00      0.00     15.00
09:46:14 PM      0.00      1.00     14.50
09:46:16 PM      0.00      1.00     13.50
09:46:18 PM    -15.50      0.00     16.00
09:46:20 PM    -15.58      0.00     14.57
09:46:22 PM      0.00      0.99     12.87
09:46:24 PM    -77.89      0.00     15.58
09:46:26 PM   -518.50      0.00     14.00
09:46:28 PM      1.00      3.00     13.50
09:46:30 PM     15.42      0.00     15.42
09:46:32 PM     82.91      0.00     14.57
09:46:34 PM      1.00      1.00     14.00
09:46:36 PM     64.50      0.00     14.50
09:46:38 PM     47.74      0.00     14.57
09:46:40 PM     22.28      0.99     13.37
09:46:42 PM     46.73      0.00     16.08
09:46:44 PM    -10.45      0.00     14.43
09:46:46 PM    -19.10      1.01     13.07
09:46:48 PM     17.50      1.00     15.00
09:46:50 PM      1.00      0.00     15.00
09:46:52 PM    -15.42      1.00     13.43
09:46:54 PM    -31.16      0.50     15.08
09:46:56 PM      0.00      0.00     14.50
09:46:58 PM    642.50      1.00   -803.00
09:47:00 PM     45.50      0.00      8.00
09:47:02 PM      5.47      0.00     13.93
09:47:04 PM    -46.73      1.01     14.57
09:47:06 PM    -15.50      0.00     14.50
09:47:08 PM     15.50      1.00     13.00
09:47:10 PM    -31.00      0.00     15.50
09:47:12 PM      0.00      0.00     14.50
